name,ownerAddress,publicKey,effectiveness,attestations
Flunkykid,0xC16403482Bab703b1F673D5987E9e49C7e0D3a0C,df8190756aeca5e91bc372963723b7f8014ef58ec7efb7e2f1b5ea4bedceaf11,40,47
SoEthMuchStable,0x20066f2dF63eEA0791C60FeD78AADeafDd6c6Baf,21a7791e980c60df99787ba9578f111d6f1d4a84e5d0393bf53b09f4434ca150,40,46
Lukka,0xeA08ceF42090Fbc3eA13E44FB5fdAEDDE07B465d,cf47a60d60f8a27b6877f688c1109232d3884b3dc635e8b376f54e1e1c449b4d,40,47
DragonStake,0xe3023dAe714d827f2452442FCCfDC2bcD684De13,498f416c20d20692c61538d6bb066c565d4ddb6347e6ccefcfe96c8a1eec82bb,40,46
DappnodeSim,0x8C9bdbf68e52226448367c00948333Dda7d9bA20,f05115ce474ceb6b6807f0c64aeb91501742ac1e9cc35b57737fee01abb374c0,39,46
0XGenesisBlock,0xCdf2213F9ddDb28Ca1191ACF8425Ad8166674C50,b7e14ff6250f90a7c5f91afd7659083efd11182d260e235ba8a1340028187690,40,47
Goooodnes,0x657E0b58c30DB73874E655D20C05AF8d484C271B,ffad43e306c8d64c01fdae0e89a93bf6987161a85c716dc419ea2764a598a845,40,47
0XGenesisBlock2,0xCdf2213F9ddDb28Ca1191ACF8425Ad8166674C50,7383ff0415c6837efe7ff408963a276d489fd419febc17f7b7b72c763252f9b1,40,47
DAppNodeCujo,0xbd0e08F7D2576b2C7E30762Fe725dad63B2f9B78,2747ea567d547adf5a4e02e6670e56f9184526a6c0f8d565541f13480de70674,39,46
Alexzender,0xc72e53F6F7847337231CC6C16bDCAaf7427EAf8b,90c6ef23a0bca49769835209540e2d1bfb88457e02a3a4be8a1b5739e64470bd,40,47
DappNodeBitcoinLouie,0x782C93e1C530a283Ef738A58b5671A8fC2D8153f,f6f7d12b5e86d03bc1d99fb0dac8865c49383e32fbf54a3d6ecc579fe074eef2,39,46
DappNodestonp89,0xC5e1569772b2d425Ac9469d39F17341C01e1CF4c,2e6791816a3833427ddc54ac4ed79da5e38d0e212f902448af0fdb46a9f82a52,40,46
DappNodeinlak16,0x8FaE2DF5b0c5bBB7Fc31DdDEc9bf045C55642bD0,30d37437bd98f090cf170715294db5cceb0521d67ad99891ca9275afa701052c,39,46
DappNodePika,0x6a87704f2A34f7e8231E2d5b08842B1FFda4B6cd,fe70cbf1d1a9875cc4925026f85579f2177404e48ace661cc68f94e20aa17325,40,46
DappNodeOperator,0x40551E5738d2Ce282b658903a4a4ccA65eeF1f65,5d31b3605ee52a9b0db62c0223852e5d5a2948dc5670b08fca90f9f16e237b0a,40,46
0xGenesisBlock3,0xCdf2213F9ddDb28Ca1191ACF8425Ad8166674C50,d12e37a9f18d6aa6647703eff60dd047f6413653b0d67df42c174e57342ee8e4,40,47
0xGenesisBlock4,0xCdf2213F9ddDb28Ca1191ACF8425Ad8166674C50,bbb25f8c609ed3cdcbdafcbf6e16d45139567bea81336e4926472e6bcfc96c6c,40,47
0xGenesisBlock5,0xCdf2213F9ddDb28Ca1191ACF8425Ad8166674C50,15e55dad25ecd027a135362591b6df110b3fea4d96ed9532459f1ef5a28d7f73,40,47
Yffka,0x009a950545178ef53aDFDdD8C1a454Ebb339CE76,2ea57aa8440773fd684a6a9ee5ecc1a02b9fb6f9120f931167e06adbaf3121f6,40,47
alex777ss,0x02cC325c31bF5a230190340909f74Cd19925baDE,f3434a10ebb420dc79e5553ec3e032231d0b75effb5a3db7d971163b5d4d59c1,40,47
Miks,0x9d492DbE600b9b78153E93C6A71Cd01101E11dB3,c8ade81a253721079c3c4c8032d80a35e463274c16428e618abefe46889a0fc4,40,47
CryptoLEDI,0x2E4411829B5d1Ac82397ca5E0dddAf4eC117F3d2,d1a31c1a86406a3603a6252755e150167a9a6db41752857f5125eb28414a9d66,40,47
DAppNodeHofgutSchwar,0x1216ABe1028608B0EeAAb0635f4C56635F1d69f0,59ab787f9b97d95874093a65f57c2398bb984697e9f1a3769bb69227e5879ce1,40,47
Ellein,0x80d08a1b58A663cBaa9ddEf982A9f33B1a59a468,d6ef0c2df6e96bea5794e38e928b45973bfce15aef5615fedc87d0524ee31ca6,40,47
Autoset,0xA2D72CA0ba0A760acdA0fe332d6b693DDc79d4c3,06f4b7844154117cf1cf00d4a6982df579730a62e84f7cd0078c4c3e70626e7f,40,47
NodesGuru,0xb7E622231CEBEe6682fd78788127d6f038c8dAAB,cc463350b48524dfc5b6d05dbc7428a25aefd75eb15dea28fb3765a959dffcfe,40,46
pa1amar,0x8c279CA56e549200012a114064cAC06E29347cd4,3db976df5aca4517de66bb2fff5da0d6ee43646c5e2ae4145014c9065206f274,40,46
lirayoperator,0x623325528E0ddB4eDe477AFBFA238DF72F4A9F54,820034d75f89729df57c482387ce909dd934e1823b6a5303a3c1259f7c813e67,40,47
VTechIN,0xBa5b1aAF54FA2E9D3683dD3B37AB7256aFB60108,691dca6b1b73adc0df6443164af0cf6bdfae8bb4e52c43cb1ba0e29283a073bf,40,47
BloxStaking,0x19dF1e7a32931DB6176dE29b603917b7bAd37158,aa3fbe1203811cf3adfe2bb9e035c89eb31c35f74c54cc2123d50370b6188c4c,40,46
Adorid,0x406B0586AE5BdFf43678780356AB69D842C5B147,ea0d3c7fac88afea55551f0ef8ff161ad6e8c9314153b3b2d50e73df4fadf7a4,40,47
BloxStaking,0x5d25fdBad5D73D99805c79c3eD229a04983982c5,2529d1cef787a25f09be6199470f5e9fcb1e51bd770061502fb118f60bbda086,40,47
DappNodeMultitudes,0x7e5c0859737885a6786Aaa33B7aF1875e3319C23,9b4f437ef3ea16ebae7e4c5202bf761f44c0d2141625c474286ebfd6f5701a91,40,46
kalyzhnyy,0x9BC9916204f39F6B8A995Bc9Cc580DF2EEFD402C,5d9842e4ea97a10b41ed724fb6fdd03b29e1b3478222ee5663e413672b254b6e,40,47
Neukind,0x1faCF8439143B030259F7DAF8a9Af85716FB5FDC,1cd72b8bd001a88cfaccd8ff018c4e80b8e3425b70454174a01172b68b93557d,40,47
